sku,brand,caption,unit,badge,link,image_url,price,per_unit,regular_price,promo_price,availability
156705,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z cielęciną i drobiem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-cielecina-i-drobiem-150-g,156705,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156705_360_350_1742291582.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
297084,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z dziczyzną i sercami",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-dziczyzna-i-sercami-150-g,297084,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/297084_360_350_1733494811.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
156712,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z dziczyzną",400 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-dziczyzna-400-g,156712,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156712_360_350_1743585949.webp,"3,39 zł","100 g = 0,85 zł",3.69,3.39,Niedostępny online; Sprawdź dostępność w drogerii
156706,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z indykiem i ryżem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-indykiem-i-ryzem-150-g,156706,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156706_360_350_1742291982.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
156001,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z jagnięciną i indykiem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-jagniecina-i-indykiem-150-g,156001,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156001_360_350_1733495330.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
156686,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z kurczakiem i indykiem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-kurczakiem-i-indykiem-150-g,156686,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156686_360_350_1742291890.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
156000,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z wołowiną i wątróbką",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-wolowina-i-watrobka-150-g,156000,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156000_360_350_1733495439.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
155995,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, z Wołowiną, Kurczakiem, Indykiem i Wieprzowiną",400 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-z-Wolowina-Kurczakiem-Indykiem-i-Wieprzowina,155995,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/155995_360_350_1743586316.webp,"3,39 zł","100 g = 0,85 zł",3.69,3.39,Niedostępny online; Sprawdź dostępność w drogerii
2083811,WINSTON,"karma pełnoporcjowa sucha dla dorosłych kotów z drobiem, wołowiną i juką",1 kg,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Winston-karma-pelnoporcjowa-sucha-dla-doroslych-kotow-z-drobiem-wolowina-i-juka-1-kg,2083811,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2083811_360_350_1744280891.webp,"6,19 zł","1 kg = 6,19 zł",9.49,6.19,Niedostępny online; Sprawdź dostępność w drogerii
230411,WINSTON,"karma pełnoporcjowa sucha dla dorosłych psów, kąski z wołowiną i marchewką","1,5 kg",,"https://www.rossmann.pl/Produkt/Suche/Winston-karma-pelnoporcjowa-sucha-dla-doroslych-psow-kaski-z-wolowina-i-marchewka-1-5-kg,230411,19129",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/230411_360_350_1727392663.webp,"12,99 zł","1 kg = 8,66 zł",16.99,12.99,Niedostępny online; Sprawdź dostępność w drogerii
